Pesom,Cinturam,,,,
64.3,89.9,,,,
83.6,108.5,,,,
57.2,,,,,
80.4,96.5,,,,
54.3,76,,,,
48.575,70.2,,,,
53,72.4,,,,
54.55,75.5,,,,
55.7,76.4,,,,
54.5,74.3,,,,
56.3,70.7,,,,
58.5,89.7,,,,
51.6,71,,,,
43.45,63.2,,,,
67.2,81.4,,,,
71.7,86.7,,,,
63.3,76.3,,,,
52.5,,,,,
36.35,63.4,,,,
62.2,85.75,,,,
59.6,91.4,,,,
64.6,76,,,,
50.9,76,,,,
53,76.8,,,,
32.75,61.5,,,,
52.3,70,,,,
62.3,80.1,,,,
48,75.2,,,,
62.95,81.95,,,,
72.9,86.5,,,,
32.5,59,,,,
49.475,66.6,,,,
63.6,78,,,,
68.9,95,,,,
51.45,80.1,,,,
44.275,72,,,,
45.4,65,,,,
67.1,98,,,,
49.95,68.3,,,,
52,71.5,,,,
29.975,62.3,,,,
72.3,97.7,,,,
41.225,69,,,,
52.75,69.6,,,,
48.25,69,,,,
77,103,,,,
51.15,78.05,,,,
37.45,63,,,,
38.6,69.55,,,,
44.5,68,,,,
46.325,65.6,,,,
69.3,,,,,
38.5,64,,,,
53.3,79.6,,,,
60.4,88,,,,
70.15,94,,,,
54.4,77,,,,
62.6,85.85,,,,
40.525,66.5,,,,
39.575,65.4,,,,
50.85,,,,,
51.9,93.55,,,,
62.9,80.5,,,,
46.075,80,,,,
41.75,79,,,,
49.65,84.5,,,,
69.15,,,,,
66,89,,,,
52.7,77.5,,,,
44.425,62.95,,,,
37.55,59.1,,,,
63.95,88,,,,
48.925,,,,,
64.4,85,,,,
53.5,94,,,,
77.4,96.05,,,,
66.3,84,,,,
66.4,89,,,,
66.4,88,,,,
60.7,79,,,,
48,71.9,,,,
31.5,59.25,,,,
51.35,75.4,,,,
74.45,88.05,,,,
44.95,67.5,,,,
31.3,60,,,,
56.1,75.6,,,,
33.525,61.1,,,,
43.575,65.9,,,,
53.4,86.75,,,,
53.4,,,,,
61.7,83.3,,,,
58.1,70.55,,,,
29.2,64.35,,,,
57.3,96.05,,,,
47.525,76.6,,,,
32.6,68.25,,,,
47.35,63,,,,
59.1,87.4,,,,
36.05,64.35,,,,
25.625,53,,,,
62.8,85.05,,,,
39.3,66.05,,,,
54.9,,,,,
67.85,95.5,,,,
56.7,81.5,,,,
55,75.5,,,,
57,78.6,,,,
55.95,77.15,,,,
40.775,63.15,,,,
84.6,102.4,,,,
